DCTEST01WEB,Themes,Running,Automatic
DCTEST01WEB,Thread Ordering Server,Stopped,Manual
DCTEST01WEB,Track-It! Workstation Manager,Running,Automatic
DCTEST01WEB,Distributed Link Tracking Client,Running,Automatic
DCTEST01WEB,Windows Modules Installer,Stopped,Manual
DCTEST01WEB,User Access Logging Service,Running,Automatic
DCTEST01WEB,Interactive Services Detection,Stopped,Manual
DCTEST01WEB,Remote Desktop Services UserMode Port Redirector,Running,Manual
DCTEST01WEB,UPnP Device Host,Stopped,Disabled
DCTEST01WEB,Credential Manager,Stopped,Manual
DCTEST01WEB,Virtual Disk,Stopped,Manual
DCTEST01WEB,VMware Alias Manager and Ticket Service,Running,Automatic
DCTEST01WEB,Hyper-V Heartbeat Service,Stopped,Manual
DCTEST01WEB,Hyper-V Data Exchange Service,Stopped,Manual
DCTEST01WEB,Hyper-V Remote Desktop Virtualization Service,Stopped,Manual
DCTEST01WEB,Hyper-V Guest Shutdown Service,Stopped,Manual
DCTEST01WEB,Hyper-V Time Synchronization Service,Stopped,Manual
DCTEST01WEB,Hyper-V Volume Shadow Copy Requestor,Stopped,Manual
DCTEST01WEB,VMware Physical Disk Helper Service,Running,Automatic
DCTEST01WEB,VMware CAF AMQP Communication Service,Stopped,Manual
DCTEST01WEB,VMware CAF Management Agent Service,Running,Automatic
DCTEST01WEB,Volume Shadow Copy,Stopped,Manual
DCTEST01WEB,Windows Time,Running,Manual
DCTEST01WEB,World Wide Web Publishing Service,Running,Automatic
DCTEST01WEB,Windows Process Activation Service,Running,Manual
DCTEST01WEB,Windows Color System,Stopped,Manual
DCTEST01WEB,Diagnostic Service Host,Stopped,Manual
DCTEST01WEB,Diagnostic System Host,Stopped,Manual
DCTEST01WEB,Windows Event Collector,Stopped,Manual
DCTEST01WEB,Problem Reports and Solutions Control Panel Support,Stopped,Manual
DCTEST01WEB,Windows Error Reporting Service,Stopped,Manual
DCTEST01WEB,WinHTTP Web Proxy Auto-Discovery Service,Running,Manual
DCTEST01WEB,Windows Management Instrumentation,Running,Automatic
DCTEST01WEB,Windows Remote Management (WS-Management),Running,Automatic
DCTEST01WEB,WMI Performance Adapter,Stopped,Manual
DCTEST01WEB,Portable Device Enumerator Service,Stopped,Manual
DCTEST01WEB,Windows Store Service (WSService),Stopped,Manual
DCTEST01WEB,Windows Update,Stopped,Manual
DCTEST01WEB,Windows Driver Foundation - User-mode Driver Framework,Stopped,Manual
MachineName,DisplayName,Status,StartType
LASAIR01,Application Experience,Stopped,Manual
LASAIR01,AirWatch Diagnostics Service (TunnelProxy),Running,Automatic
LASAIR01,AirWatch Tunnel Proxy,Stopped,Automatic
LASAIR01,Application Layer Gateway Service,Stopped,Manual
